SAMPLE	MINERAL	GROUP	   Au    	   Pt    	   W     	   As    	   Se    	   Cu    	   Ni    	   Mn    	   Sb    	   Pb    	   S     	   Zn    	   Co    	   Fe    	   Te    	   Cd    	   Ag    	   Bi    	   Hg    
GUUD-205-11_C1_Sulf-2-2 	CHALCOPYRITE	SULFIDE	0	0	0	0	0.006	34.248	0	0	0.044	0	32.542	0	0	29.761	0.015	0	0	0	0
GUUD-205-11_C1_Sulf-2-3 	CHALCOPYRITE	SULFIDE	0	0	0.007	0.001	0.009	35.181	0	0	0	0	32.666	0	0	29.889	0.026	0.049	0	0	0
GUUD-205-11_C1_Sulf-2-4 	CHALCOPYRITE	SULFIDE	0	0	0.056	0	0.002	35.098	0	0	0.011	0	32.545	0.024	0	29.924	0	0.032	0	0	0
GUUD-206-14_C1_Sulf-3-1 	CHALCOPYRITE	SULFIDE	0	0	0.009	0	0.018	34.801	0	0	0	0	32.846	0.039	0	29.22	0.083	0	0	0	0
GUUD-206-14_C1_Sulf-3-2 	CHALCOPYRITE	SULFIDE	0	0	0	0.001	0	33.736	0.006	0	0.001	0	32.423	0.315	0	28.949	0	0.066	0	0	0
GUUD-206-14_C1_Sulf-4-1 	CHALCOPYRITE	SULFIDE	0	0	0.032	0	0.019	35.273	0	0	0.015	0	32.917	0.025	0	29.994	0	0	0	0	0
GUUD-206-14_C1_Sulf-8-1 	CHALCOPYRITE	SULFIDE	0.05	0	0	0	0.004	33.718	0	0	0.005	0	31.873	0.092	0	29.12	0.064	0.079	0.005	0	0
GUUD-206-14_C1_Sulf-9-1 	CHALCOPYRITE	SULFIDE	0.003	0	0	0.045	0	33.377	0	0	0	0	33.326	0.016	0	30.117	0.024	0	0	0	0
GUUD-206-14_C1_Sulf-9-2 	CHALCOPYRITE	SULFIDE	0	0	0.065	0.018	0.005	35.209	0	0	0	0	33.151	0.024	0	29.421	0.012	0.047	0	0	0
GUUD-206-14_C1_Sulf-11-1 	CHALCOPYRITE	SULFIDE	0	0	0	0.003	0.007	34.565	0	0	0	0	32.976	0.033	0	30.078	0.051	0.03	0	0	0
GUUD-206-14_C1_Sulf-11-2 	CHALCOPYRITE	SULFIDE	0	0.021	0.028	0.007	0	34.453	0	0	0	0	32.82	0.088	0	30.082	0.027	0	0	0	0
GUUD-206-14_C1_Sulf-1-1 	PYRRHOTITE	SULFIDE	0.039	0	0	0	0.011	0.001	0.576	0	0	0	36.648	0.054	0.223	58.504	0.04	0	0	0	0
GUUD-206-14_C1_Sulf-1-2 	PYRRHOTITE	SULFIDE	0	0.009	0	0.006	0	0.074	0.524	0	0.03	0	36.378	0.012	0.274	58.229	0.026	0.001	0	0	0
GUUD-206-14_C1_Sulf-1-3 	PYRRHOTITE	SULFIDE	0	0.025	0	0	0	0	0.444	0	0.007	0	36.749	0.046	0.274	58.517	0.007	0	0	0	0
GUUD-206-14_C1_Sulf-1-4 	PYRRHOTITE	SULFIDE	0	0	0	0.025	0	0.018	0.567	0	0.004	0	36.609	0.046	0.272	58.408	0	0.035	0	0	0
GUUD-206-14_C1_Sulf-1-5 	PYRRHOTITE	SULFIDE	0	0	0.009	0.007	0.023	0.022	0.319	0	0.01	0	36.633	0	0.253	58.526	0.039	0.029	0	0	0
GUUD-206-14_C1_Sulf-10-1 	PYRRHOTITE	SULFIDE	0	0	0.077	0.007	0.029	0	0.425	0	0	0	37.062	0.035	0.145	59.252	0.065	0.037	0	0	0
GUUD-206-14_C1_Sulf-10-2 	PYRRHOTITE	SULFIDE	0.01	0	0.02	0	0	0	0.471	0	0.009	0	37.023	0.023	0.149	58.868	0	0.07	0	0	0
GUUD-206-14_C1_Sulf-5-1 	PYRRHOTITE	SULFIDE	0	0	0	0.015	0.028	0	0.595	0	0	0	37.114	0.015	0.122	58.626	0	0.039	0	0	0
