"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"548","41512","samp. CY-95","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.05,0,0.011,0,0.01,53.15,0.97,0.04,0.021,0.03,0.051,0,0,0,0,0,0,0,0,0.14,0.18,0,54.653
"549","41513","samp. CY-95","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.14,0,0.17,0.01,0.06,54.67,0.52,0.31,0.04,0.02,0.08,0,0,0,0.045,0,0,0.03,0,0.14,0.18,0,56.415
"550","41514","samp. CY-221","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.1623842,0,0.13,0.144,0.76,49.82,0.63,0.2722933,0,0.16,0.025,0,0.12,0,0.02,0,0,0,0,0,0.04,0,52.2836775
"551","41515","samp. CY-221","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.2,0,0.13,0.025,0.31,51.94,0.75,0.03,0.12,0.14,0.016,0,0.22,0,0.03,0,0,0.01,0,0.01,0.18,0,54.111
"552","41516","samp. CY-116","CARBONATE","CALCITE","CARBONATITE",0.06,0.04,2e-04,0,0.36,53.64,0.27,0.264312568713823,0.04,0.01,0,0,0.0585,0,0,0,0,0,0,0,0.01,0,54.7530125687138
"553","41517","samp. CY-116","CARBONATE","CALCITE","CARBONATITE",0.05,0,0.02,0,0.3,51.72,0.27,0,0.062,0.02,0,0,0,0,0.027,0,0,0.02,0,0.01,0.18,0,52.679
"554","41518","samp. CY-145","CARBONATE","CALCITE","CARBONATITE",0.88,0,0,0.02,0.79,52.7,0.19,0,0.01,0,0,0,0,0.0025,0,0,0,0,0,0,0.04,0,54.6325
"555","41519","samp. CY-145","CARBONATE","CALCITE","CARBONATITE",0.07,0,8e-04,0,0.57,52.37,0.12,1.55,0.02480099,0.02,0.04,0,0,0,0.03,0,0,0.53,0,0,0.015,0,55.34060099
"556","41530","samp. 8754","CARBONATE","CALCITE","KAMAFUGITE",0.12,0.06,0.04,0.82,0.25,52.3,0.99,0.08,0.15,0.1,0.32,0,0.73,0.0039,0.2,0,0,0,0,0.01,0.015,0,56.1889
"557","41543","samp. MXCS-A","CARBONATE","CALCITE","NOT GIVEN",0.08,0,0.01,0.025,0.02,56.81,0.01,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0.01,0.18,0,57.195
"558","41544","samp. MXCS-G","CARBONATE","CALCITE","NOT GIVEN",0.14,0,0.25,0.011,0.05,47.55,0.04,0.19,0.01,0.04,0.02,0,0,0.006,0.02,0,0,0,0,0.01,0.18,0,48.517
"559","41572","samp. JOS","CARBONATE","CALCITE","KIMBERLITE",0,0,0.01,0.01,0.11192,55.4688931800228,0.14924,0.03,1e-04,0.024,0.06,0,0,1e-04,0,0,0,0,0,0.14,0.01,0,56.0142531800228
